2.76,2,4,3,3,2,1,4,3,1,2,2,4,2,3,3,3,1,3,3,5,4,3,4,1,3
3.56,3,3,4,5,2,4,5,3,4,4,2,3,2,4,4,4,3,4,4,5,5,3,3,3,3
3.36,5,3,3,5,3,5,4,3,3,4,3,4,1,1,3,3,3,3,5,4,5,4,3,3,1
4.12,4,3,4,5,4,4,3,4,3,5,5,5,4,4,5,5,3,5,5,3,3,4,4,5,4
4.2,4,4,5,5,4,3,5,5,3,3,3,4,5,5,3,5,4,4,3,5,5,4,4,5,5
3.6,3,3,3,4,3,3,3,5,3,5,4,5,4,1,2,5,4,2,3,3,5,4,4,5,4
4.6,4,4,5,5,5,5,4,5,5,5,5,4,4,5,5,5,5,5,3,4,5,5,5,4,4
4.2,5,4,5,4,3,4,5,3,2,4,4,4,5,4,5,5,3,4,5,4,3,5,5,5,5
4.48,5,5,4,5,3,4,4,5,5,5,5,5,4,5,5,5,3,3,2,5,5,5,5,5,5
2.8,3,1,2,3,2,1,1,3,2,1,5,5,5,3,4,4,1,5,3,2,1,2,4,2,5
3.44,4,3,3,4,4,2,3,4,5,5,1,3,3,2,5,5,2,5,2,4,1,3,4,5,4
3.08,4,5,5,3,3,3,2,3,3,2,2,4,3,4,4,1,1,4,1,3,5,3,2,3,4
3.48,3,2,4,4,2,4,4,5,3,4,1,5,2,5,5,3,5,2,4,3,5,4,2,4,2
4.16,4,3,5,4,4,4,5,5,5,5,4,2,3,5,5,4,3,4,4,5,4,5,4,5,3
3.04,3,4,2,2,3,2,3,4,3,4,1,3,5,4,4,5,2,2,2,3,4,1,4,3,3
4.52,5,5,5,5,5,3,5,5,4,5,5,4,5,4,5,4,5,4,5,4,5,5,4,3,4
3.24,4,5,2,4,3,5,2,3,4,4,3,1,5,5,2,3,4,4,3,3,3,2,2,3,2
3.28,2,4,4,2,4,4,3,3,2,1,3,2,4,3,3,4,5,3,5,4,3,3,4,4,3
3.32,3,3,3,4,2,3,5,3,5,4,1,4,5,1,5,2,2,3,4,5,2,3,3,3,5
3.88,3,4,4,5,3,5,4,5,4,3,5,3,3,3,4,5,5,4,3,5,3,4,2,3,5
4.0,5,3,4,4,5,5,4,3,2,4,3,3,5,5,5,1,5,4,3,5,5,3,5,5,4
4.72,5,5,5,2,5,5,5,5,5,5,5,5,5,5,2,4,5,5,5,5,5,5,5,5,5
3.88,3,4,4,3,5,5,3,4,4,5,5,4,3,5,3,4,4,3,4,3,4,4,4,3,4
3.76,3,4,4,3,5,4,4,3,4,4,5,3,3,3,5,5,3,3,4,4,3,4,5,3,3
4.08,5,5,5,5,3,3,3,2,5,5,5,4,5,3,4,3,4,4,3,3,5,5,4,4,5
4.16,5,5,3,4,3,4,4,4,3,5,4,3,5,4,5,4,4,5,4,3,5,5,5,3,5
3.8,5,5,2,5,5,4,3,4,4,4,4,4,2,4,5,4,3,4,4,2,3,2,5,5,3
3.44,5,2,3,2,5,3,2,3,4,4,5,2,3,4,5,2,3,4,3,5,2,4,3,3,5
2.68,4,3,3,4,1,2,1,5,3,3,2,3,5,1,3,5,5,1,2,1,1,3,3,1,2
3.24,5,3,5,4,2,2,4,4,4,2,3,4,4,4,2,5,1,3,2,1,5,5,1,3,3
3.04,1,2,3,2,2,4,4,3,5,3,4,5,3,3,4,2,4,2,3,4,1,2,4,2,4
2.92,3,3,4,1,4,4,2,3,2,2,4,3,1,3,4,2,3,1,5,2,5,3,4,2,3
4.44,5,2,4,5,4,5,4,5,4,4,5,4,5,4,5,5,5,5,3,4,4,5,5,5,5
4.36,5,5,5,5,5,2,4,4,4,5,5,5,4,3,5,2,5,4,5,3,5,5,5,4,5
4.0,5,4,4,3,4,4,5,4,4,4,5,5,3,4,3,4,4,5,4,5,4,3,3,3,4
4.76,5,3,5,5,3,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5
3.56,5,2,4,4,5,4,4,5,4,3,3,4,3,1,3,2,5,3,2,5,5,3,3,3,4
4.0,4,4,5,5,3,3,5,4,5,5,4,3,4,4,4,3,4,4,4,3,5,5,4,3,3
3.92,4,4,3,5,3,4,5,4,5,4,3,5,3,4,5,3,4,5,1,3,3,5,3,5,5
4.56,5,5,5,4,3,5,5,5,5,5,5,3,5,4,4,5,3,5,5,5,5,5,3,5,5
4.36,5,5,4,5,5,4,5,4,5,5,5,3,4,5,5,5,3,3,3,5,4,4,4,5,4
3.76,4,4,4,4,5,4,2,3,5,1,3,4,4,4,4,4,3,5,4,5,3,4,3,5,3
4.48,5,5,2,5,4,5,4,5,5,5,4,5,3,5,5,4,5,5,4,4,5,4,4,5,5
2.68,3,4,2,3,3,4,1,2,3,1,4,2,2,4,1,2,2,3,2,4,3,1,5,5,1
4.08,5,5,4,5,4,3,4,3,5,4,3,5,5,5,3,4,3,4,4,5,4,2,5,4,4
4.2,5,2,4,4,5,5,4,4,4,5,4,4,5,5,4,5,5,3,4,3,4,5,3,5,4
4.08,4,4,5,4,4,5,4,4,3,4,4,4,4,3,5,3,4,5,3,3,4,4,5,5,5
1.64,5,3,2,2,1,1,4,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,3
3.56,4,3,5,4,2,5,5,3,4,3,1,2,4,5,1,5,2,5,4,3,4,3,5,5,2
4.24,4,5,4,4,5,4,4,4,5,4,4,4,4,4,5,5,3,5,4,5,4,4,4,3,5
2.88,2,4,1,3,3,4,3,5,2,1,4,2,3,2,1,4,4,1,1,5,4,3,2,5,3
4.24,5,5,4,4,3,5,4,5,4,5,4,3,5,4,4,5,3,5,3,5,5,5,3,5,3
2.24,1,1,2,2,1,2,3,1,2,2,3,2,2,2,2,5,2,1,1,4,5,5,1,2,2
4.28,4,5,4,4,3,5,4,5,3,3,5,4,5,4,2,5,5,4,4,4,5,5,5,5,5
3.76,4,5,4,4,1,4,5,2,4,4,1,5,4,5,3,3,4,5,3,5,3,4,4,4,4
2.08,4,5,4,1,1,2,1,1,4,2,5,1,1,2,1,1,1,1,2,4,2,1,3,1,1
2.72,5,4,1,4,1,1,1,3,2,2,4,2,4,3,2,2,3,5,4,3,3,2,2,1,4
3.72,5,5,2,3,3,4,4,3,2,3,4,5,5,1,5,4,5,3,4,4,4,5,4,2,4
4.4,5,4,5,5,5,5,5,5,4,5,2,4,4,5,4,4,2,5,5,3,5,5,4,5,5
2.6,3,2,1,3,4,2,1,3,1,5,1,3,4,3,2,2,3,4,1,5,2,2,2,3,3
4.0,3,4,4,4,4,3,5,5,5,3,5,3,5,3,3,4,4,5,3,3,5,4,5,5,3
